nom_site,id_site,id_flux,longitude,latitude
Auvers Sur Oise,200000227,251000227,2.167122841,49.07160568
07 CHATEAUNEUF SUR L'ISERE,200000356,251000356,4.896102,45.00509
10 EYMEUX,200000359,251000359,5.204955,45.08248
GASSIN,200000360,251000360,6.57085864,43.21365637
PLOERMEL 52DRNE13,200000375,251000375,-2.37855,47.9185
MALESTROIT 58DRNE14,200000413,251000413,-2.40116,47.80557
Avenue du Général de Gaulle vers le Bd Pompidou,200000420,201000420,2.5141523,51.075684
Rond Point des 4 Vents,200000452,200000452,2.42178,51.05197
Décines_Passerelle Nelson Mandela_ID949-950_3G_,200000531,200000531,4.954335093,45.77486441
Villeurbanne_Pont de Croix-Luizet_ID941-942_3G_,200000598,353478498,4.89176,45.78389
Beaumetz les loges,200000611,251000611,2.6671,50.24146
Neufchatel Hardelot,200000616,251000616,1.633675,50.612335
Bondues,200000620,200000620,3.0839,50.703037
Lézennes côté Buffalo,200000634,200000634,3.123807,50.613438
Roubaix Av Des Nations Unies côté espace Grand Rue,200000641,353423860,3.175353,50.694153
Naujac/Mer kiosque,200000676,200000676,-1.13337,45.32341
col marie blanque,200000712,353494121,-0.452989,43.061256
VVS Berges Villequier-Petiville,200000775,251000775,0.668242,49.50032
V_Caen,200000895,251000895,-0.37121301,49.16829592
V_Livarot,200000897,251000897,0.15184,49.02076
35. Voie verte Mont St Michel - St Broladre (CD35),200000912,251000912,-1.63207,48.60683
Maure de Bretagne,200000918,251000918,-1.987876257,47.8885788
Medreac,200000919,251000919,-2.030246749,48.27535002
St Méloir des Ondes,200000921,251000921,-1.86515,48.63362
Sault Brenaz,200000943,251000943,5.39128,45.86391
saulx,200000949,200000949,2.28041,48.69437
Gonesse,200000952,200000952,2.426762812,48.99296882
Base_de_loisirs,200000978,200000978,6.848785248,47.52746982
Exincourt,200000981,200000981,6.843112114,47.50246639
Fesches le Châtel,200000982,200000982,6.915346487,47.51846718
Paris | 106 Avenue Denfert Rochereau,200003098,201003098,2.333031,48.835143
Bonne,200049679,251049679,6.31442,46.16871
V.V DREUILHE,200049729,251049729,1.86454,42.94839
Cherrueix,200049739,251049739,-1.76254,48.60298
Iffendic,200049742,251049742,-2.00597,48.13648
Balazé,200049744,251049744,-1.21121,48.17497
Roubaix,200049774,251049774,3.20532,50.68939
Marais de Fretin,200049833,251049833,3.147129,50.553966
Paris | Face au 8 avenue de la porte de Charenton,200056226,201056226,2.400550838,48.83033052
Paris | Totem Cours la Reine,200057380,201057380,2.31444,48.86462
Alpe dhuez,300014960,353250641,6.04031,45.06489
Guiche Digue,300015005,353251095,-1.16944,43.49881
Av JOURDAN Sens Sud / Nord,300015210,353252540,6.96838975,43.55908389
N° 7 CROISETTE,300015220,353252615,7.019528547,43.55076796
st brieuc perrieres,300015304,353252932,-2.74153,48.50745
Carnot fixe,300015305,353252944,-2.76667392,48.5065591
POURTALET,300015783,353256416,-0.443,42.94729
Voie Verte Premian,300015934,353469740,2.83595,43.5294
Lyon 3_F.Faure_Pont SNCF_ID1791-1792_,300016090,353359486,4.860462696,45.75378407
Vénissieux_Vienne_L.Bonnevay_ID1596-1597_,300016276,353486476,4.854665839,45.71761621
Strasbourg | Quai Pasteur,300016387,353260396,7.743079111,48.5739391
Strasbourg | Avenue Herrenschmidt (côté Hilton),300016398,353260429,7.755713589,48.59677614
Strasbourg | Avenue Herrenschmidt (côté PMC),300016399,353260432,7.755912231,48.59686711
Strasbourg | Rue du Doubs,300016423,353260552,7.73339808,48.55546747
Strasbourg | Route d'Oberhausbergen (DDT),300016428,353260567,7.728316098,48.59047116
Strasbourg | Route de Brumath,300016440,353260579,7.72620811,48.64064247
Strasbourg | Rue du 23 Novembre,300016441,353260582,7.706153714,48.53212324
Lyon 2_Pont Kitchener Marchand_ID1157-1158_3G_,300016509,353479527,4.822644295,45.75139886
Bld Charles de Gaulle,300017734,353269338,0.6733,47.41268
Bordeaux | Pont de Pierre,300018058,353271430,-0.5648169,44.8372518
Avenue Schuman,300018934,353277033,5.44683,43.51822
Magné velo francette,300019735,353282729,-0.57786,46.3104
