nom_site,id_site,id_flux,longitude,latitude
Bogny_Sur_Meuse,100003996,151003996,4.738765137,49.86696391
GUER,200000114,251000114,-2.1270835,47.905632
Gourin,200000204,201000204,-3.61605,48.12855
Champigny lès Langres,200000223,251000223,5.3349686,47.884884
Abbaye Vauclair,200000268,353325036,3.74071,49.45374
Ecole de voile,200000270,353325096,3.66942,49.4716
Observatoire,200000271,353325072,3.7040062,49.462112
Haybes,200000278,251000278,4.73311,50.02215
Bogny_Sur_Meuse,200000280,251000280,4.738765137,49.86696391
Hirson,200000288,251000288,4.102068,49.948006
Cercy La Tour,200000310,200000310,3.62449,46.86689
Saint Vit,200000317,251000317,5.7998476,47.173332
08 Romans Ouest,200000357,251000357,5.034885,45.02775
09 Barrage de Pizançon,200000358,251000358,5.074702915,45.03944332
LA CHAPELLE CARO 57DRNE14,200000414,251000414,-2.43645,47.87834
BREUIL LE SEC,200000514,251000514,2.4658,49.37768
Ecluse Briassé,200000519,251000519,-0.72255,47.96877
RD 909 Chavoires,200000523,353364955,6.16341,45.89796
Sallanches,200000525,251000525,6.6325,45.96217
Etaples,200000614,251000614,1.628049,50.51992
Capinghem direction Lomme,200000622,201000622,2.960567,50.64612
Wambrechies direction Wambrechies,200000651,201000651,3.037142,50.6955
01_Piste cyclable Ronce-les-Bains,200000686,201000686,-1.168000026,45.79161949
03_Piste cyclable Saint-Palais-sur-Mer,200000688,201000688,-1.1266941,45.658325
Chef de Baie,200000931,251000931,-1.2037436,46.14675
Grez-Neuville,200000935,201000935,-0.686690742,47.6044719
Planche des belles filles,200000946,200000946,6.778349067,47.77245653
Allenjoie,200000975,200000975,6.900957699,47.52978157
Vieux Charmond 2016,200000990,200000990,6.842633,47.52101
Vélodyssée - Biscarrosse (Vivier),200000997,251000997,-1.239647249,44.45232533
SOULAC SUR MER,200001030,200001030,-1.111738819,45.52843834
Artzenheim,200049674,200049674,7.5323,48.11498
Luzoir  gare,200049682,251049682,3.958001,49.921528
Moulin d'Écouffeaux,200049684,251049684,3.609109,49.461132
Passerelle monampteuil,200049685,251049685,3.551959,49.47008
Guise,200049689,251049689,3.627218,49.89469
Digne les bains,200049769,200049769,6.2374,44.13025
Molac,200049776,251049776,-2.43485,47.69568
5 Santenay,200049786,200049786,4.688495994,46.90564137
Langres,200049787,200049787,5.35716,47.87247
Lac d'orthez,200049803,251049803,-0.75472,43.47135
Santes,200049834,251049834,2.975882764,50.57871601
EV8 - Sorède (Vélos + Piétons),200057448,251057448,2.95847,42.5402
hurepoix,200057486,200057486,2.23206,48.66949
saint aubin,200057487,200057487,2.15728,48.72489
Tournus Nord - Boyer,300015326,353253267,4.93141,46.60264
Molay,300015713,353255889,5.41488,47.01137
Voie Verte Courniou,300015931,353479128,2.66663,43.4779
EV3 - voie verte de l'Avesnois - Ferriere La Petite ,300017431,353266950,4.01727,50.23977
Falaise Bloucard,300017804,353269769,3.49992,49.85479
EV4-Wissant,300018813,353276209,1.688592278,50.90010838
EV5-Aire sur la Lys,300018814,353276228,2.45578,50.64985
EV5-Base de loisirs d'Olhain,300018816,353276256,2.58384,50.44037
Saint-Paul,300019560,353281214,6.74745,44.51728
RD620 Aire de repos,300020248,353286462,1.94303,42.95337
Billieme,300021047,353291689,5.81076,45.71877
Lac du Jaunay,300021191,353292639,-1.75068,46.6595
Lac du Jaunay,300021979,353297907,-1.75068,46.6595
gare cluny,300022800,353303546,4.66705,46.42654
saint yan,300022803,353303588,4.07554,46.44475
Dunières,300022820,353303725,4.36377,45.20867
Riotord,300022823,353303767,4.40162,45.22777
Lucy,300023028,353305279,3.5907121,47.5223043
Pompierre,300023231,353306792,6.521455944,47.41639025
Tour du Bourg - Plescop,300030038,353354304,-2.8077483,47.7034581
Gare St Mars du Désert,300030067,353354490,-1.4025377,47.3554126
Gautrie Petit Mars,300030068,353354504,-1.4527292,47.4046026
SàV (Hautot sur Seine),300030360,353356807,0.9757,49.35451
14_LaPalmyre-hippodrome,300030711,353359336,-1.176722646,45.69471855
16_La Palmyre-quads,300030713,353359343,-1.1621207,45.7131355
Arandon,300031879,353368239,5.4220719,45.7192418
voie verte gare Pornic,300032099,353370083,-2.0927263,47.1154765
Moulin Berland,300032102,353370128,-0.2197664,45.2568512
Chatillon-Sur-Indre,300033249,353378563,1.182882674,46.9924937
V MARITIME (Etretat RD11),300035376,353392627,0.2340252,49.71213
V MARITIME (Fécamp RD79),300035704,353395352,0.3774881,49.766228
"Abscon, accès Rue du 11 Novembre",300036628,353402641,3.2961517,50.3258578
Saint Denis-sur-Sarthon,300036915,353405020,-0.0219901,48.454365
Pont de l'EUROPE Ouest,300038391,353417064,1.87614,47.89344
Saint Aubin des Ormeaux,300040377,353434461,-1.0723,47.00699
CD66 | Pirinexus/Reynès,300040606,353452872,2.723,42.493
CD66 | Agouille de la Mar/Saint-Cyprien,300040609,353452849,3.012,42.636
Le Gué St Sauveur,300040973,353440218,-0.871065482,46.19489543
