nom_site,id_site,id_flux,longitude,latitude
Malakoff_vers_Gare_Sud,200000164,201000164,-1.536436677,47.21321869
Tortière_sud,200000166,201000166,-1.549343586,47.23544693
Avenue du Stade,200000421,200000421,2.3898826,51.03388337
Boulevard de L'Europe,200000422,200000422,2.12372292,50.99623155
Boulevard Victor Hugo,200000425,200000425,2.38101,51.02665
D2 Rue des 7 Planetes,200000427,200000427,2.38003,50.99959
D601 Pont du Chemin de Fer,200000432,200000432,2.36869,51.02865
D916 Rue de Lille,200000447,200000447,2.37314,51.0257
Place du Minck,200000451,353294518,2.37773,51.03914
Rue des Scieries,200000457,200000457,2.36601,51.02547
V_Hérouville,200000476,353485960,-0.32228,49.19502
TOULON EST (la Coulée Verte),200000510,251000510,5.97141,43.11777
Décines_Contre halage Pont de Décines_ID951-952_3G_,200000532,200000532,4.953702092,45.77466236
Vaulx en Velin_Pont de la Sucrerie_ID946-945_3G_,200000533,200000533,4.935870767,45.77058389
Vaulx en Velin_Contre-halage Pont Sucrerie_ID947-948_3G_,200000534,200000534,4.936337471,45.77074853
Vaulx en Velin_Halage Hippodrome_Jara_ID943-944_3G_,200000538,200000538,4.91854,45.76717
Marcq-en-Baroeul VVV,200000607,251000607,3.0861075,50.673473
Marquette-lez-Lille VVV,200000609,251000609,3.062348,50.66493
Armentières Bd Faidherbe côté Nord,200000618,201000618,2.874314,50.68157
Armentières Bd Faidherbe côté Sud,200000619,201000619,2.874399831,50.68157
Comines,200000623,200000623,3.010323307,50.76107683
Haubourdin direction Haubourdin,200000626,201000626,2.989395612,50.61141541
LIL-CORB-02-Vers Lille Europe,200000632,353283396,3.0736256,50.63862
Lézennes côté Darty,200000635,200000635,3.123807,50.613438
Roncq direction Roncq centre,200000638,201000638,3.1209004,50.763668
Roubaix Av Des Nations Unies côté collège,200000640,201000640,3.17557,50.69404
Séclin coté pair,200000644,353265676,3.023323,50.54408
Tourcoing Av Allende sens montant,200000646,201000646,3.164188333,50.72193
Tourcoing Rue de Roubaix,200000647,200000647,3.164333,50.714767
Voie verte Cambaie,200000660,251000660,MISSING,MISSING
RN2 Le Baril,200000665,200000665,MISSING,MISSING
RN2 Saint Benoit Plaines Ouest,200000667,200000667,MISSING,MISSING
Voie verte Gillot,200000670,251000670,MISSING,MISSING
Lyon 8_Pinel_L.Bonnevay _ID1601-1602_3G_,200000699,200000699,4.887435436,45.72246529
RD 803 02 Latresne,200000794,251000794,-0.49538967,44.783203
VVS Harfleur,200000823,251000823,0.190261,49.513256
Pont de Fil,200000834,251000834,0.6931893,47.399628
Pont Wilson,200000836,353247085,0.68588,47.39754
V5-route de plouzané,200000841,201000841,-4.63553,48.379234
pleuven,200000843,201000843,-4.032021,47.903356
Lille Pont de Fives,200000882,200000882,3.0823796,50.63269
Pont Napoléon EST,200000908,200000908,0.67712,47.39589
Prés-la-Rose,200000985,200000985,6.803812741,47.50736829
Pont Saint Sauveur EST,200001017,200001017,0.67795,47.37164
Pont Sanitas EST,200001019,353580495,0.69679,47.37023
NAN-V16-V32-V33-Hoche,200001024,200001024,2.192559418,48.904267
Entrée sud Pont J. Richard,200001036,200001036,4.850702956,46.77788002
Pont Noir,200001050,251001050,6.21416,46.1936547
Chemin de la digue - Gières,200001051,353653598,5.78279,45.19041
Paris | 28 Boulevard Diderot,200007049,201007049,2.375429,48.846028
Paris | 39 quai François Mauriac,200036718,201036718,2.376941,48.8344028
Paris | 18 quai de l'hotel de ville,200036719,201036719,2.35702,48.85372
Paris | 10 avenue de la Grande Armée,200044494,201044494,2.29215,48.8747
Paris | 7 Avenue de la Grande Armée,200044495,201044495,2.29215,48.87451
Paris | 72 boulevard Voltaire,200044506,201044506,2.37407,48.86155
Paris | 89 boulevard de Magenta,200047533,201047533,2.3544712,48.877686
Paris | 102 boulevard de Magenta,200047536,201047536,2.354892,48.877885
Paris | Face au 16 avenue de la  Porte des Ternes,200047538,201047538,2.281203,48.881626
Paris | 21 Boulevard Auguste Blanqui,200047539,201047539,2.353199,48.830449
Paris | 72 boulevard Richard Lenoir ,200047540,201047540,2.372742,48.86077
Paris | Pont National SO-NE,200047541,201047541,2.38434,48.826503
Paris | Face 104 rue d'Aubervilliers,200047545,201047545,2.3688522,48.890457
Paris | Face au 25 quai de l'Oise,200047548,201047548,2.384954,48.8914149
Paris | 35 Boulevard de Ménilmontant,200047550,201047550,2.388364,48.860528
Paris | 152 boulevard du Montparnasse,200049407,201049407,2.333233,48.840801
CB09 Voie Verte W.ROUSSEAU,200049691,200049691,2.380747692,51.0202407
Voie Verte BD Simone Veil,200049692,200049692,2.347928365,51.02420309
Magellan vers Ouest (CV0945),200049694,201049694,-1.549402177,47.20878965
Calvaire_vers_Est,200049697,201049697,-1.5606858,47.215454
De_Gaulle_vers_Sud,200049699,201049699,-1.5365165,47.203083
Pont A. Briand vers Sud,200049702,201049702,-1.543435599,47.2115505
Pont_Audibert_amont_vers_SUD,200049710,201049710,-1.54890484,47.20731264
Pont_Audibert_AVAL_vers_SUD,200049711,201049711,-1.5615015,47.203396
