nom_site,id_site,id_flux,longitude,latitude
Champigny lès Langres,200000223,251000223,5.3349686,47.884884
Auvers Sur Oise,200000227,251000227,2.167122841,49.07160568
Haybes,200000278,251000278,4.73311,50.02215
Cercy La Tour,200000310,200000310,3.62449,46.86689
Saint Vit,200000317,251000317,5.7998476,47.173332
07 CHATEAUNEUF SUR L'ISERE,200000356,251000356,4.896102,45.00509
09 Barrage de Pizançon,200000358,251000358,5.074702915,45.03944332
10 EYMEUX,200000359,251000359,5.204955,45.08248
GASSIN,200000360,251000360,6.57085864,43.21365637
PLOERMEL 52DRNE13,200000375,251000375,-2.37855,47.9185
MALESTROIT 58DRNE14,200000413,251000413,-2.40116,47.80557
Avenue du Général de Gaulle vers le Bd Pompidou,200000420,201000420,2.5141523,51.075684
Avenue du 6 Juin 1944,200000442,200000442,2.406807326,51.03417491
Rond Point des 4 Vents,200000452,200000452,2.42178,51.05197
BREUIL LE SEC,200000514,251000514,2.4658,49.37768
RD 909 Chavoires,200000523,353364955,6.16341,45.89796
Sallanches,200000525,251000525,6.6325,45.96217
Décines_Passerelle Nelson Mandela_ID949-950_3G_,200000531,200000531,4.954335093,45.77486441
Villeurbanne_Pont de Croix-Luizet_ID941-942_3G_,200000598,353478498,4.89176,45.78389
Beaumetz les loges,200000611,251000611,2.6671,50.24146
Neufchatel Hardelot,200000616,251000616,1.633675,50.612335
Bondues,200000620,200000620,3.0839,50.703037
Capinghem direction Lomme,200000622,201000622,2.960567,50.64612
Lézennes côté Buffalo,200000634,200000634,3.123807,50.613438
Roubaix Av Des Nations Unies côté espace Grand Rue,200000641,353423860,3.175353,50.694153
Wambrechies direction Wambrechies,200000651,201000651,3.037142,50.6955
RN2002 Bras Panon Nord,200000668,200000668,MISSING,MISSING
RN6 Bd Sud Foucques/Foucherolles,200000673,200000673,MISSING,MISSING
Naujac/Mer kiosque,200000676,200000676,-1.13337,45.32341
la pierre St Martin,200000711,353563233,-0.75287907,42.98661443
col marie blanque,200000712,353494121,-0.452989,43.061256
VVS Berges Villequier-Petiville,200000775,251000775,0.668242,49.50032
V_Caen,200000895,251000895,-0.37121301,49.16829592
V_Livarot,200000897,251000897,0.15184,49.02076
35. Voie verte Mont St Michel - St Broladre (CD35),200000912,251000912,-1.63207,48.60683
Maure de Bretagne,200000918,251000918,-1.987876257,47.8885788
Medreac,200000919,251000919,-2.030246749,48.27535002
St Méloir des Ondes,200000921,251000921,-1.86515,48.63362
Sault Brenaz,200000943,251000943,5.39128,45.86391
Planche des belles filles,200000946,200000946,6.778349067,47.77245653
saulx,200000949,200000949,2.28041,48.69437
Gonesse,200000952,200000952,2.426762812,48.99296882
Allenjoie,200000975,200000975,6.900957699,47.52978157
Base_de_loisirs,200000978,200000978,6.848785248,47.52746982
Exincourt,200000981,200000981,6.843112114,47.50246639
