nom_site,id_site,id_flux,longitude,latitude
Brétignolles Sur Mer,200000083,200000083,-1.90635,46.66306
Les Sables d'Olonne,200000086,353423186,-1.81671,46.50579
Aizenay,200000105,200000105,-1.54165,46.73639
Malakoff_vers_Gare_Sud,200000164,201000164,-1.536436677,47.21321869
Brunstatt,200000241,251000241,7.312842,47.71679
Huningue,200000242,251000242,7.57485,47.59459
Horbourg_Wihr,200000243,251000243,7.3888,48.09441
002- Portbail-total,200000262,202000262,-1.67838,49.33521
Tremeoc_Nouveau,200000286,201000286,-4.227121,47.876935
Benfeld,200000389,200000389,7.604346874,48.3684818
Eckwersheim,200000390,200000390,7.708510479,48.6846183
Herrlisheim,200000394,200000394,7.916036319,48.73952755
Boulevard de L'Europe,200000422,200000422,2.12372292,50.99623155
Boulevard Pierre Mendès France,200000424,200000424,2.31519525,51.01541178
Boulevard Victor Hugo,200000425,200000425,2.38101,51.02665
D601 Pont du Chemin de Fer,200000432,200000432,2.36869,51.02865
Rue de la Cunette,200000456,200000456,2.38554035,51.03463785
Voie Verte rue Paul Vancassel,200000460,200000460,2.41187,51.04305
Ailly/Somme,200000461,251000461,2.22217,49.91798
Fouilloy,200000463,251000463,2.500156423,49.90179295
Lamotte Brebière,200000464,251000464,2.39726,49.88435
V_Hérouville,200000476,353485960,-0.32228,49.19502
St lyé,200000491,251000491,4.02151,48.36047
annsev,200000521,200000521,6.14124,45.89048
Décines_Contre halage Pont de Décines_ID951-952_3G_,200000532,200000532,4.953702092,45.77466236
Vaulx en Velin_Pont de la Sucrerie_ID946-945_3G_,200000533,200000533,4.935870767,45.77058389
Vaulx en Velin_Contre-halage Pont Sucrerie_ID947-948_3G_,200000534,200000534,4.936337471,45.77074853
Vaulx en Velin_Halage Hippodrome_Jara_ID943-944_3G_,200000538,200000538,4.91854,45.76717
Haubourdin direction Haubourdin,200000626,201000626,2.989395612,50.61141541
LIL-CORB-02-Vers Lille Europe,200000632,353283396,3.0736256,50.63862
Lézennes côté Darty,200000635,200000635,3.123807,50.613438
Séclin coté pair,200000644,353265676,3.023323,50.54408
Tourcoing Rue de Roubaix,200000647,200000647,3.164333,50.714767
Wambrechies direction Quesnoy,200000650,201000650,3.037142,50.6955
Mietesheim,200000655,200000655,7.663221,48.881065
Piriac-sur-Mer,200000658,200000658,-2.50799,47.39972
Voie verte Gillot,200000670,251000670,MISSING,MISSING
02_La Bouverie,200000687,201000687,-1.22973,45.7303
15_La Palmyre-Front de mer,200000694,200000694,-1.1765,45.68024
Lyon 8_Pinel_L.Bonnevay _ID1601-1602_3G_,200000699,200000699,4.887435436,45.72246529
Laroin,200000708,251000708,-0.4400539,43.305836
AVV Eurovia,200000769,251000769,1.1476765,49.873867
VRLin Pourville,200000774,251000774,1.032913,49.91449
RD 801 05 Lacanau ocean,200000784,251000784,-1.157283777,45.00679335
RD 802 01 Andernos les Bains,200000785,251000785,-1.1092471,44.751915
35. Apigné (CR),200000816,251000816,-1.74536,48.09473
56. Jn Saint Jouan (CRB),200000817,251000817,-2.53596,47.9363
VVS Harfleur,200000823,251000823,0.190261,49.513256
Pont de Fil,200000834,251000834,0.6931893,47.399628
le juch,200000837,202000837,-4.25647,48.06902
V5-route de plouzané,200000841,201000841,-4.63553,48.379234
05 VV Mesnil Raoult Multi,200000877,251000877,-1.05727,49.02817
Stambach,200000902,200000902,7.337912563,48.73118493
Selestat,200000903,200000903,7.460358,48.247249
Pont Napoléon EST,200000908,200000908,0.67712,47.39589
La Maréchale,200000930,251000930,-1.207365,46.183895
Taverny,200000951,200000951,2.214882208,49.01156397
Vétraz-M/  Ecole F. Dolto,200000974,251000974,6.26771,46.18777
Prés-la-Rose,200000985,200000985,6.803812741,47.50736829
Dommartin,200001012,251001012,6.62987,48.00325
Pont Saint Sauveur EST,200001017,200001017,0.67795,47.37164
Pont Sanitas EST,200001019,353580495,0.69679,47.37023
Ecluse de Domergue,200001033,251001033,1.89867,43.32282
Entrée sud Pont J. Richard,200001036,200001036,4.850702956,46.77788002
Préfailles,200001045,200001045,-2.20953,47.12487
Pont Noir,200001050,251001050,6.21416,46.1936547
Paris | 28 Boulevard Diderot,200007049,201007049,2.375429,48.846028
Paris | 39 quai François Mauriac,200036718,201036718,2.376941,48.8344028
Paris | 18 quai de l'hotel de ville,200036719,201036719,2.35702,48.85372
Paris | 10 avenue de la Grande Armée,200044494,201044494,2.29215,48.8747
Paris | 7 Avenue de la Grande Armée,200044495,201044495,2.29215,48.87451
Paris | 72 boulevard Voltaire,200044506,201044506,2.37407,48.86155
Paris | 89 boulevard de Magenta,200047533,201047533,2.3544712,48.877686
Paris | 102 boulevard de Magenta,200047536,201047536,2.354892,48.877885
Paris | Face au 16 avenue de la  Porte des Ternes,200047538,201047538,2.281203,48.881626
Paris | 21 Boulevard Auguste Blanqui,200047539,201047539,2.353199,48.830449
Paris | 72 boulevard Richard Lenoir ,200047540,201047540,2.372742,48.86077
Paris | Pont National SO-NE,200047541,201047541,2.38434,48.826503
Paris | Face 104 rue d'Aubervilliers,200047545,201047545,2.3688522,48.890457
Paris | Face au 25 quai de l'Oise,200047548,201047548,2.384954,48.8914149
Paris | 35 Boulevard de Ménilmontant,200047550,201047550,2.388364,48.860528
Petit Port,200049677,200049677,6.14971,45.90503
VLG-V33-Nobel,200049690,200049690,2.32373,48.94552
CB09 Voie Verte W.ROUSSEAU,200049691,200049691,2.380747692,51.0202407
Voie Verte BD Simone Veil,200049692,200049692,2.347928365,51.02420309
