nom_site,id_site,id_flux,longitude,latitude
Bogny_Sur_Meuse,100003996,151003996,4.738765137,49.86696391
Sedan (Glaire),100027372,151027372,4.919424,49.71289
Les Epesses,200000092,200000092,-0.950605,46.89322333
Triaize,200000101,200000101,-1.16954,46.38434
GUER,200000114,251000114,-2.1270835,47.905632
Le Pellerin - Nantes,200000162,200000162,-1.76697,47.20506
Tortière_nord,200000165,201000165,-1.549365044,47.23544693
Tortière_sud,200000166,201000166,-1.549343586,47.23544693
La Daguenière,200000167,200000167,-0.45471,47.41952
St Florent le Vieil,200000169,200000169,-1.0286237,47.36404419
V6 Rostrenen-2011,200000178,201000178,-3.35916996,48.26332855
V3-2 Tremereuc-2013,200000180,251000180,-2.058228,48.558465
Gourin,200000204,201000204,-3.61605,48.12855
La Chapelle sur Erdre,200000238,200000238,-1.54336,47.31487
22. Calorguen (CRT) V2-V3,200000248,251000248,-2.00703,48.40258
29. plourin les morlaix (CRT),200000255,251000255,-3.76831,48.54098
Abbaye Vauclair,200000268,353325036,3.74071,49.45374
Ecole de voile,200000270,353325096,3.66942,49.4716
Observatoire,200000271,353325072,3.7040062,49.462112
Bogny_Sur_Meuse,200000280,251000280,4.738765137,49.86696391
Hirson,200000288,251000288,4.102068,49.948006
Mourioux Vieilleville,200000295,200000295,1.6444849,46.08346
Saint Germain Beaupré,200000296,200000296,1.53082,46.30158
Logger,200000297,251000297,0.83224,48.40516
Bobigny,200000303,200000303,2.4426517,48.899834
pavillon_sous_bois  4015,200000305,200000305,2.5021095,48.914482
Decize,200000312,200000312,3.43297,46.81752
Ventoux-Nord_RD 974 PR:44+000 section:V974_44,200000325,353281305,5.24421,44.17845
Ventoux-Sud_RD 974 PR:29+700 section:V974_29,200000326,353281313,5.31649,44.1484
08 Romans Ouest,200000357,251000357,5.034885,45.02775
LAGOUBRAN,200000361,251000361,5.89373,43.12122
7 Pontailler,200000384,200000384,5.426099335,47.31179318
LA CHAPELLE CARO 57DRNE14,200000414,251000414,-2.43645,47.87834
D601 Pont à Roseaux,200000433,200000433,2.24931125,51.00219266
Ecluse Briassé,200000519,251000519,-0.72255,47.96877
Lyon 7_Pont Raymond Barre_ID926-927_3G_,200000535,353479620,4.821243,45.732002
Meyzieu_Pont Herbens_ID953-954_3G_,200000536,353660562,4.9910054,45.794758
Marcq-en-Baroeul VVV,200000607,251000607,3.0861075,50.673473
Marquette-lez-Lille VVV,200000609,251000609,3.062348,50.66493
Eleu dit leauwette,200000613,251000613,2.81316,50.41736
Etaples,200000614,251000614,1.628049,50.51992
Groffliers,200000615,251000615,1.60443,50.391567
Armentières Bd Faidherbe côté Nord,200000618,201000618,2.874314,50.68157
Croix,200000624,353510897,3.152265,50.668297
Fretin,200000625,200000625,3.118215,50.57507
Haubourdin direction Loos,200000627,353421198,2.989428,50.61146
Herlies,200000628,353416413,2.857053333,50.57067
LIL - GdBoulevard,200000630,200000630,3.0874739,50.656063
LIL-CORB-01-Vers Lille Flandres,200000631,353278800,3.0738642,50.638866
Lille façade de l'Esplanade,200000633,200000633,3.053248,50.63913
Mons En Baroeul,200000636,200000636,3.097252091,50.64201879
Roncq direction Halluin,200000637,201000637,3.1212108,50.76375
Roubaix  Av. Gustave Delory direction parc Barbieu,200000639,201000639,3.185241,50.67032
Séclin coté impair,200000643,201000643,3.0233216,50.544
Tourcoing Av Allende sens descendant,200000645,201000645,3.16406,50.721878
Villeneuve d'Ascq 8 Mai 1945,200000648,200000648,3.155389,50.63476
Villeneuve d'Ascq Bd Van Gogh,200000649,200000649,3.131189,50.621346
Saint Léger les Vignes,200000659,200000659,-1.71368,47.14052
Voie verte Cambaie,200000660,251000660,MISSING,MISSING
RN1A Petite Ravine,200000662,200000662,MISSING,MISSING
RN1A Le Souffleur,200000663,200000663,MISSING,MISSING
RN2 Le Baril,200000665,200000665,MISSING,MISSING
RN2 Saint Benoit Plaines Est,200000666,200000666,MISSING,MISSING
RN2 Saint Benoit Plaines Ouest,200000667,200000667,MISSING,MISSING
RN2002 Ste Suzanne La Marine,200000669,200000669,MISSING,MISSING
RN6 Bd Sud Gir. Cerf,200000671,200000671,MISSING,MISSING
RN6 Bd Sud Digue Finette,200000672,200000672,MISSING,MISSING
03_Piste cyclable Saint-Palais-sur-Mer,200000688,201000688,-1.1266941,45.658325
Lyon 8_A.Thomas_Manufacture des Tabacs_ID1049-1050_EVO_,200000698,353254434,4.860393405,45.74932982
V300 - Véloroutes Perpignan/Thuir  - Ponteilla (Vélos + Piétons),200000703,202000703,2.80805,42.63446
PIRINEXUS - Hôtel Néoulous le Boulou -  (Vélos + Piétons),200000705,202000705,2.82657,42.51942
Bourdon,200000714,251000714,2.0685682,49.98484
Sedan (Glaire),200000715,251000715,4.919424,49.71289
RD 803 02 Latresne,200000794,251000794,-0.49538967,44.783203
RD 803 03 Sadirac (Gare),200000795,200000795,-0.40489,44.78031
RD 804 02  La Teste de Buch,200000799,200000799,-1.15804,44.60788
RD 809 01 Castets en Dorthe,200000809,251000809,-0.140824,44.560337
Machecoul Vélos,200000821,200000821,-1.824941115,47.00206765
Cocquerel,200000831,251000831,1.95448415,50.04172651
Bormes (le Trapan),200000833,251000833,6.29477,43.14981
DRID_EV4_Plougasnou,200000839,200000839,-3.7822,48.70113
DRID_RD26_Plouguin_PCyUni,200000842,200000842,-4.62089,48.53043
Vallauris,200000856,200000856,7.06393,43.55889
Villeneuve Loubet,200000857,200000857,7.143709,43.64267
56. Ht Grand Barrage (CRB),200000870,251000870,-3.25456,47.81978
RD1 Trégunc,200000878,200000878,-3.83549,47.81664
HYERES (l'Ayguade),200000886,251000886,6.17807,43.10755
Pont Tramway,200000906,200000906,0.688110039,47.37171534
Pont Napoléon OUEST,200000907,200000907,0.6768,47.39607
Arnéguy,200000910,251000910,-1.25467,43.14814
Chef de Baie,200000931,251000931,-1.2037436,46.14675
Grez-Neuville,200000935,201000935,-0.686690742,47.6044719
Villarcher GSM Juin 2017,200000942,200000942,5.88331,45.61568
Beauvais,200000967,251000967,2.05373,49.43154
Dasle,200000980,200000980,6.891823932,47.47882454
Vieux Charmond 2016,200000990,200000990,6.842633,47.52101
Vélodyssée - Bias (Lespecier),200000995,251000995,-1.301907972,44.1638918
Vélodyssée - Biscarrosse (Vivier),200000997,251000997,-1.239647249,44.45232533
Vélodyssée - Mimizan (les 3 collines),200001009,251001009,-1.234743072,44.21747033
croix de chavaux,200001016,200001016,2.43673,48.8581
Pont Saint Sauveur OUEST,200001018,200001018,0.67793,47.37165
Pont Sanitas OUEST,200001020,353580512,0.69676,47.37024
ANT-V40-Sud A86,200001021,200001021,2.28486,48.76027
CHT-V40-Perrotin-Est,200001022,200001022,2.296026693,48.79997123
MAL-V40-Charles de Gaulle-ouest,200001023,200001023,2.2973,48.82158
NAN-V16-V32-V33-Hoche,200001024,200001024,2.192559418,48.904267
V6 Loudéac_2,200001025,251001025,-2.74748,48.17083
V3 Bétineuc,200001026,202001026,-1.99389,48.38027
